id,term_freqs
165,"{'shelf': 1.3862943611198906, 'bracket': 1.791759469228055}"
166,{'white': 1.0986122886681098}
172,{}
177,"{'wire': 1.0986122886681098, 'hdx': 0.6931471805599453}"
178,"{'finish': 1.3862943611198906, 'kitchen': 0.6931471805599453}"
179,"{'wire': 1.0986122886681098, 'shelf': 1.6094379124341003, 'kitchen': 0.6931471805599453}"
181,{'pantry': 0.6931471805599453}
182,{'storage': 1.0986122886681098}
186,{'shelf': 1.6094379124341003}
191,"{'shelve': 1.0986122886681098, 'steel': 1.0986122886681098}"
193,"{'shelve': 1.0986122886681098, 'storage': 1.0986122886681098}"
195,{}
201,{'bracket': 1.6094379124341003}
202,"{'single': 1.3862943611198906, 'track': 1.3862943611198906, 'bracket': 1.6094379124341003}"
203,{'bracket': 1.6094379124341003}
205,{'track': 1.3862943611198906}
210,"{'husky': 0.6931471805599453, 'tool': 1.0986122886681098}"
214,"{'impact': 1.0986122886681098, 'power': 0.6931471805599453, 'battery': 1.0986122886681098}"
215,"{'impact': 1.0986122886681098, 'wrench': 0.6931471805599453}"
223,{}
226,{'fuel': 0.6931471805599453}
227,{'stove': 1.3862943611198906}
233,"{'gas': 1.0986122886681098, 'stove': 1.3862943611198906}"
241,"{'round': 0.6931471805599453, 'bone': 0.6931471805599453}"
245,"{'cadet': 0.6931471805599453, 'bone': 0.6931471805599453}"
255,{'grayson': 1.0986122886681098}
257,{}
259,{'post': 1.791759469228055}
261,"{'green': 1.0986122886681098, 'paint': 1.0986122886681098}"
266,{'post': 1.791759469228055}
270,{}
272,{}
275,"{'sheet': 0.6931471805599453, 'metal': 1.0986122886681098}"
276,"{'sheet': 0.6931471805599453, 'metal': 1.0986122886681098}"
284,"{'elastomeric': 0.6931471805599453, 'roof': 1.791759469228055, 'coating': 0.6931471805599453}"
290,{'outdoor': 1.3862943611198906}
293,{'cushion': 1.0986122886681098}
294,"{'spring': 1.3862943611198906, 'hampton': 0.6931471805599453, 'bay': 0.6931471805599453}"
297,{}
305,{}
314,{'door': 2.302585092994046}
318,"{'door': 2.302585092994046, 'steel': 1.0986122886681098}"
319,"{'stanley': 1.791759469228055, 'door': 2.302585092994046}"
323,{'faucet': 1.3862943611198906}
327,{'faucet': 1.3862943611198906}
331,{'faucet': 1.3862943611198906}
334,{'dispenser': 1.0986122886681098}
335,{'dispenser': 1.0986122886681098}
340,{}
341,"{'insulation': 2.6390573296152584, 'kraft': 0.6931471805599453, 'face': 0.6931471805599453}"
343,"{'insulation': 2.6390573296152584, 'fiberglass': 1.3862943611198906}"
346,"{'corn': 1.6094379124341003, 'owen': 1.0986122886681098}"
347,{}
350,{'insulation': 2.6390573296152584}
351,{}
354,{'power': 1.3862943611198906}
355,{'emergency': 0.6931471805599453}
359,{'planter': 1.0986122886681098}
361,{'post': 1.9459101490553132}
363,"{'post': 1.9459101490553132, 'column': 0.6931471805599453}"
365,{'post': 1.9459101490553132}
373,{'light': 1.0986122886681098}
374,{'rope': 1.0986122886681098}
375,{'light': 1.0986122886681098}
385,{}
389,"{'toilet': 1.9459101490553132, 'bowl': 1.0986122886681098}"
397,{}
400,{'bay': 0.6931471805599453}
401,"{'bay': 0.6931471805599453, 'flush': 1.6094379124341003, 'dual': 0.6931471805599453}"
402,"{'glacier': 0.6931471805599453, 'bay': 0.6931471805599453, 'toilet': 1.9459101490553132}"
403,"{'glacier': 0.6931471805599453, 'bay': 0.6931471805599453, 'tank': 1.0986122886681098}"
407,{'toilet': 1.9459101490553132}
408,{'toilet': 1.9459101490553132}
411,{}
413,{'toilet': 1.9459101490553132}
418,"{'toilet': 1.9459101490553132, 'bowl': 1.0986122886681098}"
421,"{'toilet': 1.9459101490553132, 'flush': 1.6094379124341003}"
422,"{'glacier': 0.6931471805599453, 'bay': 0.6931471805599453, 'toilet': 1.9459101490553132}"
440,"{'gas': 1.791759469228055, 'water': 2.4849066497880004, 'heater': 1.9459101490553132}"
444,"{'gas': 1.791759469228055, 'heater': 1.9459101490553132}"
445,"{'gas': 1.791759469228055, 'heater': 1.9459101490553132}"
446,"{'water': 2.4849066497880004, 'heater': 1.9459101490553132, 'hot': 1.0986122886681098, 'cost': 0.6931471805599453}"
447,"{'gas': 1.791759469228055, 'water': 2.4849066497880004, 'heater': 1.9459101490553132, 'hot': 1.0986122886681098}"
452,"{'rheem': 0.6931471805599453, 'gas': 1.791759469228055, 'water': 2.4849066497880004, 'heater': 1.9459101490553132}"
454,"{'rheem': 0.6931471805599453, 'gas': 1.791759469228055, 'water': 2.4849066497880004, 'heater': 1.9459101490553132}"
455,"{'rheem': 0.6931471805599453, 'water': 2.4849066497880004, 'heater': 1.9459101490553132}"
456,"{'water': 2.4849066497880004, 'heater': 1.9459101490553132}"
458,"{'water': 2.4849066497880004, 'heater': 1.9459101490553132}"
459,"{'water': 2.4849066497880004, 'heater': 1.9459101490553132}"
461,"{'shark': 0.6931471805599453, 'vacuum': 1.3862943611198906}"
468,"{'cabinet': 1.3862943611198906, 'lead': 1.0986122886681098}"
469,"{'light': 1.6094379124341003, 'cabinet': 1.3862943611198906}"
470,"{'light': 1.6094379124341003, 'counter': 0.6931471805599453, 'fluorescent': 0.6931471805599453}"
473,{'light': 1.6094379124341003}
475,{'door': 2.1972245773362196}
476,"{'door': 2.1972245773362196, 'double': 0.6931471805599453}"
478,"{'door': 2.1972245773362196, 'steel': 0.6931471805599453}"
479,"{'patio': 1.3862943611198906, 'steel': 0.6931471805599453}"
480,{'tape': 1.6094379124341003}
481,{'tape': 1.6094379124341003}
485,{}
491,"{'post': 1.0986122886681098, 'treat': 0.6931471805599453}"
492,"{'pipe': 0.6931471805599453, 'black': 0.6931471805599453}"
497,"{'tee': 1.3862943611198906, 'gas': 1.0986122886681098}"
500,"{'rug': 2.0794415416798357, 'area': 0.6931471805599453}"
501,{}
508,{'piece': 0.6931471805599453}
511,{'piece': 0.6931471805599453}
516,"{'baker': 0.6931471805599453, 'rack': 0.6931471805599453}"
517,{}
524,"{'garage': 1.6094379124341003, 'floor': 0.6931471805599453}"
533,{'epoxy': 1.0986122886681098}
536,{'ramp': 1.6094379124341003}
542,{}
544,{'melnor': 0.6931471805599453}
549,"{'window': 1.791759469228055, 'unit': 1.3862943611198906}"
551,"{'window': 1.791759469228055, 'air': 2.4849066497880004}"
557,"{'unit': 1.3862943611198906, 'room': 1.3862943611198906}"
559,{'unit': 1.3862943611198906}
562,"{'window': 1.791759469228055, 'air': 2.4849066497880004}"
563,"{'window': 1.791759469228055, 'unit': 1.3862943611198906, 'air': 2.4849066497880004}"
568,{'deck': 1.6094379124341003}
571,{'deck': 1.6094379124341003}
572,"{'deck': 1.6094379124341003, 'paint': 1.0986122886681098}"
573,{}
576,"{'restore': 0.6931471805599453, '4x': 1.3862943611198906}"
581,"{'right': 1.0986122886681098, 'angle': 1.0986122886681098, 'milwaukee': 0.6931471805599453}"
582,"{'hole': 1.9459101490553132, 'drill': 1.791759469228055, 'milwaukee': 0.6931471805599453}"
583,"{'right': 1.0986122886681098, 'angle': 1.0986122886681098, 'drill': 1.791759469228055}"
584,"{'right': 1.0986122886681098, 'angle': 1.0986122886681098, 'drill': 1.791759469228055}"
585,{'snow': 2.302585092994046}
591,{'gas': 0.6931471805599453}
593,"{'gas': 0.6931471805599453, 'snow': 2.302585092994046, 'blower': 1.6094379124341003}"
595,{'gas': 1.0986122886681098}
600,"{'adora': 0.6931471805599453, 'range': 1.0986122886681098, 'ge': 0.6931471805599453}"
605,"{'base': 1.9459101490553132, 'board': 0.6931471805599453}"
606,{'mdf': 1.0986122886681098}
611,{'wall': 0.6931471805599453}
619,"{'set': 1.3862943611198906, '7piece': 0.6931471805599453, 'hampton': 0.6931471805599453, 'bay': 0.6931471805599453, 'aluminum': 1.3862943611198906}"
626,{'plant': 1.6094379124341003}
630,"{'landscape': 1.6094379124341003, 'edge': 1.3862943611198906}"
634,{'tape': 1.0986122886681098}
635,"{'masking': 0.6931471805599453, 'tape': 1.0986122886681098}"
636,"{'screw': 1.0986122886681098, 'tap': 0.6931471805599453}"
637,{}
640,{'window': 0.6931471805599453}
642,"{'silicone': 2.1972245773362196, 'caulk': 1.791759469228055, 'windows': 0.6931471805599453, 'door': 1.0986122886681098}"
643,{'silicone': 2.1972245773362196}
644,"{'combo': 1.0986122886681098, 'kit': 1.0986122886681098}"
646,{'impact': 1.3862943611198906}
652,"{'drill': 1.6094379124341003, 'lithium': 0.6931471805599453, 'battery': 1.3862943611198906}"
653,{}
659,{}
660,{}
661,{'vacuum': 0.6931471805599453}
662,{'universal': 0.6931471805599453}
663,"{'pole': 1.0986122886681098, 'saw': 1.0986122886681098}"
666,"{'ryobi': 1.0986122886681098, 'pole': 1.0986122886681098, 'saw': 1.0986122886681098}"
668,{'ryobi': 1.0986122886681098}
669,{'attachment': 1.3862943611198906}
670,"{'fiberglass': 1.0986122886681098, 'kit': 0.6931471805599453}"
671,"{'fiberglass': 1.0986122886681098, 'kit': 0.6931471805599453}"
674,"{'rug': 1.6094379124341003, 'doctor': 1.6094379124341003, 'carpet': 1.3862943611198906}"
677,"{'light': 1.6094379124341003, 'cabinet': 1.0986122886681098}"
679,"{'pine': 0.6931471805599453, 'straw': 1.0986122886681098}"
680,"{'slide': 0.6931471805599453, 'door': 1.0986122886681098, 'blind': 1.0986122886681098}"
682,"{'exterior': 0.6931471805599453, 'door': 1.0986122886681098}"
686,"{'portable': 1.0986122886681098, 'btu': 1.3862943611198906}"
687,"{'portable': 1.0986122886681098, 'air': 2.302585092994046}"
688,{'desk': 1.3862943611198906}
690,{'pruner': 1.791759469228055}
691,"{'paint': 1.3862943611198906, 'brush': 1.791759469228055}"
696,{'paint': 1.3862943611198906}
700,{'sander': 1.3862943611198906}
712,"{'inverter': 1.3862943611198906, 'generator': 0.6931471805599453}"
713,"{'delta': 0.6931471805599453, 'faucet': 0.6931471805599453, 'handle': 0.6931471805599453}"
715,"{'delta': 0.6931471805599453, 'kitchen': 0.6931471805599453, 'faucet': 0.6931471805599453}"
718,"{'kitchen': 0.6931471805599453, 'faucet': 0.6931471805599453}"
722,"{'kitchen': 0.6931471805599453, 'faucet': 0.6931471805599453}"
726,"{'hot': 0.6931471805599453, 'water': 1.0986122886681098, 'dispenser': 1.3862943611198906}"
731,{'plastic': 0.6931471805599453}
734,{}
737,{}
739,"{'wall': 1.9459101490553132, 'board': 0.6931471805599453}"
740,{'wall': 1.9459101490553132}
742,"{'mask': 1.0986122886681098, 'face': 1.6094379124341003}"
743,{'respirator': 0.6931471805599453}
745,{'ant': 3.2188758248682006}
748,{}
749,{'5gal': 1.0986122886681098}
751,{'homer': 1.0986122886681098}
753,{}
756,{'lamp': 0.6931471805599453}
758,{'stud': 1.3862943611198906}
759,{}
760,{'lumber': 0.6931471805599453}
763,"{'shrink': 1.791759469228055, 'window': 0.6931471805599453, 'film': 1.791759469228055}"
764,{}
765,{'film': 1.791759469228055}
771,{'window': 0.6931471805599453}
773,{}
778,"{'water': 1.791759469228055, 'filter': 1.3862943611198906}"
784,"{'light': 1.6094379124341003, 'bulb': 1.0986122886681098}"
787,"{'light': 1.6094379124341003, 'bulb': 1.0986122886681098}"
790,{'fluorescent': 0.6931471805599453}
791,"{'fluorescent': 0.6931471805599453, 'light': 1.6094379124341003}"
800,"{'t8': 0.6931471805599453, 'light': 1.6094379124341003}"
801,{'light': 1.6094379124341003}
811,"{'mower': 1.0986122886681098, 'lawn': 0.6931471805599453}"
812,{}
817,{}
818,{}
819,{}
824,"{'storage': 1.3862943611198906, 'cabinet': 1.3862943611198906}"
826,{'cabinet': 1.3862943611198906}
828,"{'gas': 1.3862943611198906, 'range': 0.6931471805599453, 'stainless': 0.6931471805599453}"
831,"{'frigidaire': 0.6931471805599453, 'gas': 1.3862943611198906, 'range': 0.6931471805599453}"
832,"{'gas': 1.3862943611198906, 'range': 0.6931471805599453}"
837,"{'gas': 1.3862943611198906, 'stainless': 0.6931471805599453, 'steel': 1.0986122886681098}"
843,"{'repair': 1.6094379124341003, 'kit': 1.3862943611198906, 'fiberglass': 1.0986122886681098}"
844,"{'kit': 1.3862943611198906, 'fiberglass': 1.0986122886681098}"
847,{'paneling': 0.6931471805599453}
852,{'sand': 0.6931471805599453}
857,"{'vinyl': 0.6931471805599453, 'peel': 0.6931471805599453, 'stick': 0.6931471805599453}"
862,"{'water': 1.791759469228055, 'heater': 1.3862943611198906, 'blanket': 1.0986122886681098}"
867,{}
868,"{'tile': 0.6931471805599453, 'floor': 1.0986122886681098}"
869,"{'tile': 0.6931471805599453, 'wall': 0.6931471805599453}"
872,"{'tile': 0.6931471805599453, 'wall': 0.6931471805599453}"
876,{'montagna': 0.6931471805599453}
878,"{'tile': 0.6931471805599453, 'floor': 1.0986122886681098}"
881,"{'porcelain': 1.791759469228055, 'tile': 0.6931471805599453}"
882,"{'tile': 0.6931471805599453, 'floor': 1.0986122886681098}"
885,"{'tile': 0.6931471805599453, 'floor': 1.0986122886681098}"
886,"{'wood': 1.6094379124341003, 'look': 0.6931471805599453}"
893,"{'deck': 1.6094379124341003, 'post': 1.6094379124341003}"
894,{}
895,{'treat': 0.6931471805599453}
898,{'post': 1.6094379124341003}
899,"{'deck': 1.6094379124341003, 'post': 1.6094379124341003, 'pressure': 1.0986122886681098, 'treat': 0.6931471805599453}"
902,"{'light': 1.9459101490553132, 'fixture': 1.0986122886681098, 'closet': 0.6931471805599453}"
908,"{'cub': 1.0986122886681098, 'cadet': 1.0986122886681098}"
909,"{'cub': 1.0986122886681098, 'cadet': 1.0986122886681098}"
910,"{'cub': 1.0986122886681098, 'cadet': 1.0986122886681098, 'mower': 0.6931471805599453, 'lawn': 1.0986122886681098}"
912,{}
918,{'lawn': 1.0986122886681098}
922,{}
923,{'switch': 0.6931471805599453}
928,{}
929,{'wall': 1.0986122886681098}
934,"{'heater': 1.6094379124341003, 'wall': 1.0986122886681098}"
940,"{'bamboo': 1.6094379124341003, 'fencing': 0.6931471805599453}"
944,{}
954,"{'pedestal': 0.6931471805599453, 'sink': 0.6931471805599453}"
958,"{'pedestal': 0.6931471805599453, 'sink': 0.6931471805599453}"
962,{'sink': 0.6931471805599453}
963,{}
969,"{'dewalt': 1.0986122886681098, 'combo': 0.6931471805599453, 'kit': 1.0986122886681098}"
974,{}
978,{'water': 2.302585092994046}
984,"{'blade': 0.6931471805599453, 'diamond': 0.6931471805599453}"
991,"{'cedar': 1.0986122886681098, 'plank': 1.791759469228055}"
1000,{'plank': 1.791759469228055}
1001,{}
1004,"{'quikrete': 1.0986122886681098, 'color': 1.791759469228055}"
1007,"{'door': 1.3862943611198906, 'hinge': 0.6931471805599453}"
1008,"{'door': 1.3862943611198906, 'hinge': 0.6931471805599453}"
1019,{'heater': 0.6931471805599453}
1020,"{'gas': 0.6931471805599453, 'heater': 0.6931471805599453, 'lp': 0.6931471805599453}"
1022,"{'portable': 0.6931471805599453, 'air': 0.6931471805599453, 'tank': 0.6931471805599453}"
1026,"{'heater': 0.6931471805599453, 'propane': 0.6931471805599453}"
1028,{}
1031,{'light': 2.1972245773362196}
1038,"{'beer': 1.6094379124341003, 'dispenser': 0.6931471805599453, 'keg': 1.791759469228055}"
1040,{}
1051,"{'malibu': 1.0986122886681098, 'light': 1.3862943611198906}"
1053,"{'satin': 1.0986122886681098, 'nickel': 1.3862943611198906, 'pull': 1.0986122886681098}"
1056,{}
1060,"{'galvanize': 1.3862943611198906, 'nail': 1.791759469228055}"
1062,"{'paslode': 1.3862943611198906, 'nail': 1.791759469228055}"
1065,"{'slide': 0.6931471805599453, 'lock': 1.0986122886681098}"
1068,"{'slide': 0.6931471805599453, 'lock': 1.0986122886681098}"
1072,{'pantry': 1.0986122886681098}
1073,"{'storage': 1.0986122886681098, 'cabinet': 0.6931471805599453}"
1074,"{'pantry': 1.0986122886681098, 'cabinet': 0.6931471805599453}"
1076,{'sheetrock': 0.6931471805599453}
1080,{}
1081,{'bootz': 0.6931471805599453}
1083,{'tub': 1.3862943611198906}
1084,{'porcelain': 1.0986122886681098}
1086,"{'tub': 1.3862943611198906, 'tile': 0.6931471805599453}"
1090,{'track': 1.3862943611198906}
1095,{}
1097,{'cabinet': 1.0986122886681098}
1098,{'cabinet': 1.0986122886681098}
1101,{}
1103,"{'cabinet': 1.0986122886681098, 'white': 0.6931471805599453}"
1104,{}
1107,"{'storage': 1.0986122886681098, 'cabinet': 1.0986122886681098}"
1108,{}
1116,"{'tree': 0.6931471805599453, 'pruner': 1.0986122886681098}"
1121,{'wood': 0.6931471805599453}
1128,{'door': 1.6094379124341003}
1129,{'door': 1.6094379124341003}
1132,{'door': 1.6094379124341003}
1134,"{'prehung': 1.0986122886681098, 'entry': 0.6931471805599453, 'door': 1.6094379124341003, 'wooden': 0.6931471805599453}"
1135,"{'door': 1.6094379124341003, 'rustic': 1.0986122886681098}"
1138,{'dewalt': 1.0986122886681098}
1142,{'dewalt': 1.0986122886681098}
1145,"{'dewalt': 1.0986122886681098, 'battery': 1.3862943611198906}"
1146,"{'dewalt': 1.0986122886681098, 'battery': 1.3862943611198906, 'charger': 0.6931471805599453}"
1148,{'dewalt': 1.0986122886681098}
1151,{'dewalt': 1.0986122886681098}
1155,{'sheet': 0.6931471805599453}
1159,"{'hot': 1.0986122886681098, 'element': 0.6931471805599453}"
1164,{'water': 1.9459101490553132}
1165,{}
1168,"{'blower': 2.0794415416798357, 'leaf': 1.3862943611198906}"
1171,{'blower': 2.0794415416798357}
1172,{'shredder': 0.6931471805599453}
1176,{'blower': 2.0794415416798357}
1177,{'leaf': 1.3862943611198906}
1180,{}
1185,{'fuse': 1.0986122886681098}
1191,"{'mosaic': 1.3862943611198906, 'tile': 1.6094379124341003}"
1192,"{'mosaic': 1.3862943611198906, 'tile': 1.6094379124341003}"
1195,{'tile': 1.6094379124341003}
1196,"{'travertine': 1.0986122886681098, 'tile': 1.6094379124341003}"
1205,{'gas': 0.6931471805599453}
1206,{'homeflex': 1.3862943611198906}
1208,"{'hardware': 0.6931471805599453, 'pull': 0.6931471805599453}"
1212,{'pull': 0.6931471805599453}
1215,{}
1216,{'cabinet': 0.6931471805599453}
1218,{'epoxy': 1.0986122886681098}
1220,{}
1224,"{'malibu': 0.6931471805599453, 'light': 1.3862943611198906}"
1227,"{'door': 1.0986122886681098, 'trim': 0.6931471805599453}"
1228,{'mulch': 1.791759469228055}
1230,{'mulch': 1.791759469228055}
1231,{'mulch': 1.791759469228055}
1237,"{'door': 1.3862943611198906, 'bell': 1.3862943611198906}"
1238,"{'chime': 1.0986122886681098, 'door': 1.3862943611198906, 'bell': 1.3862943611198906}"
1243,"{'canvas': 2.3978952727983707, 'drop': 2.772588722239781, 'cloth': 2.772588722239781}"
1248,"{'mower': 0.6931471805599453, 'lawn': 0.6931471805599453}"
1252,"{'electric': 0.6931471805599453, 'mower': 0.6931471805599453}"
1253,"{'electric': 0.6931471805599453, 'mower': 0.6931471805599453}"
1257,{}
1266,{}
1267,{}
1273,{'chair': 0.6931471805599453}
1275,"{'chair': 0.6931471805599453, 'rail': 0.6931471805599453}"
1276,"{'chair': 0.6931471805599453, 'rail': 0.6931471805599453, 'moulding': 0.6931471805599453}"
1279,{'board': 1.0986122886681098}
1287,"{'gate': 2.302585092994046, 'fence': 1.0986122886681098}"
1289,"{'gate': 2.302585092994046, 'frame': 1.6094379124341003}"
1291,"{'fence': 1.0986122886681098, 'wood': 0.6931471805599453}"
1296,{'roller': 1.3862943611198906}
1300,{}
1302,{'paver': 1.0986122886681098}
1303,{'chaise': 1.3862943611198906}
1316,{'light': 1.3862943611198906}
1317,{'fan': 1.9459101490553132}
1320,"{'hampton': 1.0986122886681098, 'ceiling': 1.3862943611198906, 'fan': 1.9459101490553132}"
1323,{}
1326,"{'screen': 2.0794415416798357, 'frame': 0.6931471805599453}"
1335,"{'insulation': 2.6390573296152584, 'fiberglass': 1.3862943611198906}"
1338,"{'corn': 1.6094379124341003, 'owen': 1.0986122886681098}"
1340,{'insulation': 2.6390573296152584}
1344,"{'kit': 0.6931471805599453, 'fiberglass': 0.6931471805599453}"
1345,"{'kit': 0.6931471805599453, 'fiberglass': 0.6931471805599453}"
1347,"{'rustoleum': 0.6931471805599453, 'tile': 0.6931471805599453}"
1348,{'epoxy': 1.0986122886681098}
1349,"{'tub': 1.0986122886681098, 'kit': 0.6931471805599453}"
1355,{'tool': 0.6931471805599453}
1356,"{'tool': 0.6931471805599453, 'box': 1.9459101490553132}"
1357,{}
1359,"{'ladder': 1.3862943611198906, 'werner': 0.6931471805599453}"
1364,"{'patio': 1.6094379124341003, 'furniture': 1.791759469228055, 'cover': 1.3862943611198906}"
1366,"{'patch': 0.6931471805599453, 'roof': 1.6094379124341003}"
1377,{}
1387,{}
1388,{}
1394,{}
1395,"{'fan': 0.6931471805599453, 'control': 1.3862943611198906}"
1397,"{'fan': 0.6931471805599453, 'remote': 1.0986122886681098}"
1399,"{'hampton': 1.0986122886681098, 'bay': 1.0986122886681098, 'ceiling': 0.6931471805599453, 'fan': 0.6931471805599453, 'remote': 1.0986122886681098}"
1401,"{'hampton': 1.0986122886681098, 'ceiling': 0.6931471805599453, 'fan': 0.6931471805599453}"
1403,"{'ceiling': 0.6931471805599453, 'fan': 0.6931471805599453, 'remote': 1.0986122886681098, 'control': 1.3862943611198906}"
1405,"{'rail': 0.6931471805599453, 'chair': 1.0986122886681098, 'moulding': 0.6931471805599453}"
1408,{}
1414,{'gate': 1.0986122886681098}
1419,"{'masking': 1.3862943611198906, 'tape': 2.0794415416798357}"
1422,{'hose': 1.6094379124341003}
1427,"{'window': 1.9459101490553132, 'kit': 1.0986122886681098}"
1431,{}
1433,"{'roof': 0.6931471805599453, 'roll': 0.6931471805599453}"
1434,{'roll': 0.6931471805599453}
1436,{'sheet': 1.6094379124341003}
1439,{}
1443,"{'cedar': 2.1972245773362196, 'plank': 2.1972245773362196}"
1444,{}
1449,{'rock': 1.6094379124341003}
1453,"{'red': 1.0986122886681098, 'mulch': 1.0986122886681098}"
1454,"{'red': 1.0986122886681098, 'mulch': 1.0986122886681098}"
1458,{'trim': 1.3862943611198906}
1468,{'pole': 1.0986122886681098}
1471,"{'pole': 1.0986122886681098, 'saw': 1.0986122886681098}"
1472,{}
1473,{}
1479,{}
1481,"{'front': 0.6931471805599453, 'load': 1.6094379124341003, 'washer': 1.9459101490553132}"
1483,{'washer': 1.9459101490553132}
1486,"{'lg': 1.3862943611198906, 'kit': 0.6931471805599453}"
1487,"{'lg': 1.3862943611198906, 'load': 1.6094379124341003}"
1490,"{'front': 0.6931471805599453, 'load': 1.6094379124341003}"
1491,"{'front': 0.6931471805599453, 'load': 1.6094379124341003, 'washer': 1.9459101490553132}"
1492,{'washer': 1.9459101490553132}
1496,{'washer': 1.9459101490553132}
1497,"{'washer': 1.9459101490553132, 'set': 1.3862943611198906}"
1501,{'washer': 1.9459101490553132}
1504,{}
1506,"{'insulation': 2.0794415416798357, 'foam': 0.6931471805599453}"
1509,{}
1512,"{'reflective': 1.3862943611198906, 'insulation': 2.0794415416798357}"
1528,"{'washer': 1.6094379124341003, 'dryer': 1.0986122886681098, 'set': 1.3862943611198906}"
1538,{'tile': 1.3862943611198906}
1542,"{'ladder': 1.6094379124341003, 'foot': 1.0986122886681098}"
1546,{'ladder': 1.6094379124341003}
1548,"{'door': 1.6094379124341003, 'panel': 0.6931471805599453}"
1554,{'jeldwen': 0.6931471805599453}
1560,{'door': 1.6094379124341003}
1561,{'door': 1.6094379124341003}
1562,{}
1568,"{'unfinished': 1.0986122886681098, 'door': 1.6094379124341003}"
1569,"{'jeldwen': 0.6931471805599453, 'unfinished': 1.0986122886681098, 'slab': 1.6094379124341003, 'door': 1.6094379124341003}"
1571,{'door': 1.6094379124341003}
1572,"{'rug': 2.302585092994046, 'area': 1.0986122886681098}"
1576,{'m12': 1.791759469228055}
1577,"{'milwaukee': 1.0986122886681098, 'm12': 1.791759469228055}"
1578,"{'battery': 1.6094379124341003, 'lithium': 0.6931471805599453}"
1587,"{'prune': 1.6094379124341003, 'saw': 1.3862943611198906}"
1588,"{'tree': 1.0986122886681098, 'pruner': 1.3862943611198906}"
1593,"{'werner': 1.3862943611198906, 'ladder': 1.0986122886681098}"
1595,"{'60w': 0.6931471805599453, 'bulb': 1.6094379124341003}"
1609,{}
1610,"{'sprayer': 0.6931471805599453, 'pump': 1.3862943611198906}"
1612,{'pump': 1.3862943611198906}
1616,{}
1617,{'spray': 1.0986122886681098}
1622,{'rug': 1.6094379124341003}
1624,{'rug': 1.6094379124341003}
1627,{'inverter': 1.0986122886681098}
1633,{'tubing': 0.6931471805599453}
1634,"{'water': 1.9459101490553132, 'pex': 0.6931471805599453}"
1637,"{'attic': 1.6094379124341003, 'ladder': 1.3862943611198906}"
1640,{'load': 1.0986122886681098}
1643,"{'werner': 0.6931471805599453, 'ladder': 1.3862943611198906}"
1645,"{'roofing': 0.6931471805599453, 'nail': 0.6931471805599453}"
1647,{'roof': 0.6931471805599453}
1648,{'roof': 0.6931471805599453}
1653,{}
1654,{}
1655,"{'decora': 1.0986122886681098, 'switch': 1.0986122886681098, 'single': 0.6931471805599453}"
1656,"{'switch': 1.0986122886681098, 'pole': 0.6931471805599453}"
1657,"{'switch': 1.0986122886681098, 'light': 1.0986122886681098}"
1661,"{'martha': 0.6931471805599453, 'stewart': 0.6931471805599453, 'cabinet': 0.6931471805599453}"
1664,{'cable': 1.6094379124341003}
1667,"{'garage': 1.3862943611198906, 'door': 0.6931471805599453}"
1669,{'azek': 1.9459101490553132}
1670,"{'vanity': 2.0794415416798357, 'bathroom': 0.6931471805599453}"
1671,{'vanity': 2.0794415416798357}
1672,{'vanity': 2.0794415416798357}
1673,{'vanity': 2.0794415416798357}
