,term,idfscore
139,bracket,3.342704500908148
140,decorative,2.977371494226301
141,shelving,6.226884288556391
142,hdx,3.624194603112008
143,commercial,2.850055497911194
144,wire,2.6956337786460387
145,masonry,5.0742047786180065
146,brush,2.0114699169712846
147,marshalltown,6.632349396664556
148,track,3.7056099945975163
149,rubbermaid,3.760669771780544
150,9pocket,8.424108865892611
151,pouch,5.533737107996446
152,husky,3.2650535666780818
153,maintenance,6.719360773654186
154,x4,6.632349396664556
155,wrench,4.1336494247442195
156,18volt,3.1183194845058733
157,tool,2.48130949076591
158,ridgid,3.4932385402652177
159,impact,3.6159978359078293
160,thermostat,4.41677568066014
161,btu,3.1770847937321247
162,emberglow,5.7850515362773525
163,fuel,4.0868181250601205
164,stove,4.573961264182552
165,ventfree,6.072733608729133
166,2piece,3.4101457817036804
167,toilet,2.671536227066978
168,american,2.5297060316277604
169,cadet,4.182782113321864
170,round,2.199550436617251
171,bone,4.522136196317966
172,gpf,3.7942460673141483
173,flowise,5.506338133808332
174,standard,2.708727255393058
175,cup,4.6984154386559585
176,sumner,6.719360773654186
177,rub,2.809157604943026
178,grayson,7.171345897397243
179,home,1.3945785299845532
180,street,5.42837659233862
181,bronze,1.6323257631628947
182,hardware,2.7946908065252725
183,pull,3.1930002490380245
184,oil,2.6356789171761252
185,paint,1.6289625312931284
186,duty,2.876980201281787
187,tpost,7.325496577224501
188,heavy,3.16922105727191
189,green,2.74223122662446
190,expand,6.2840427023963406
191,bolt,2.5491781350405804
192,plain,4.6629087501990485
193,crown,2.7070811644863895
194,henry,5.506338133808332
195,gal,2.110560819615516
196,roof,3.7327609836634674
197,chair,3.060472033223932
198,2pack,2.116921586177326
199,cushion,3.236723060051856
200,patio,2.1731688382230288
201,beverly,6.814670953458511
202,arm,4.09337552560628
203,din,4.226906918230802
204,custom,3.217358692870065
205,brown,2.528329568919037
206,allweather,4.91256342706159
207,sky,5.288614649963462
208,spring,3.6038273002875743
209,lounge,4.760547219762964
210,blue,2.51466815426322
211,wicker,4.606396539935706
212,remesh,8.018643757784446
213,stanley,4.211981268014127
214,1panel,5.749960216466082
215,prehung,2.831257951943692
216,prefinished,4.8131909532483865
217,door,1.0104400075055038
218,chatham,6.920031469116337
219,lite,3.062816700183186
220,dispenser,4.07383092953331
221,resist,5.146964132900434
222,spot,4.182782113321864
223,moen,3.1823618508329687
224,essie,8.424108865892611
225,kitchen,2.4128416914884494
226,pulldown,4.710536799188303
227,sprayer,3.59579512859031
228,singlehandle,3.674838335930763
229,soap,4.453816952340489
230,liquid,4.029659711220172
231,case4,9.117256046452557
232,ground,4.204601160716504
233,bare,5.42837659233862
234,deicer,7.730961685332666
235,corn,4.44442721199065
236,batts,5.9392022161046105
237,r19,6.719360773654186
238,insulation,4.305071691080139
239,face,4.305071691080139
240,kraft,6.172817067286116
241,owen,5.22543574834193
242,sonic,5.65152014365283
243,gama,5.716058664790401
244,rechargeable,5.246055035544665
245,batterypowered,7.325496577224501
246,40led,9.117256046452557
247,lantern,3.6200878211593546
248,dark,3.3806837489733645
249,pot,3.891509372739355
250,dia,4.190002361295352
251,ceramic,2.8946797783811875
252,rivage,9.117256046452557
253,capacity,3.7893798776629755
254,rdi,5.859159508431074
255,porch,4.990121661407465
256,newel,5.821419180448228
257,turn,5.47966988672617
258,fence,2.831257951943692
259,vinyl,2.086398570336436
260,post,2.7456441992207
261,rope,4.182782113321864
262,multicolor,4.747808193985535
263,control,2.8750327809973912
264,bazz,6.2840427023963406
265,cuttable,9.117256046452557
266,selfadhesive,5.403683979748249
267,remote,3.511453980156559
268,resilient,4.91256342706159
269,trafficmaster,4.042082231218729
270,cherry,3.5077842512675965
271,allure,4.407725845140222
272,floor,1.9517625713917104
273,plank,4.154411416192649
274,efficiency,4.722806891780118
275,complete,5.039718602546837
276,glacier,3.3458149233225405
277,high,2.850055497911194
278,elongate,3.8649826184059264
279,flush,3.2795255992866164
280,heater,2.775134627731405
281,natural,2.5366169091676074
282,performance,4.09337552560628
283,rheem,3.958200747238027
284,plus,2.503871828072997
285,year,4.257443642090884
286,tall,4.1336494247442195
287,water,2.2660711189588136
288,liftaway,7.325496577224501
289,slimlight,9.117256046452557
290,shark,5.9392022161046105
291,vacuum,3.8545658575476707
292,clean,4.005268258096013
293,rotator,7.171345897397243
294,hilowoff,8.018643757784446
295,cabinet,1.8000436380927174
296,ge,2.503871828072997
297,bar,2.7070811644863895
298,direct,4.927601304426131
299,steves,4.826796605304165
300,prim,3.253624870854459
301,son,4.826796605304165
302,retrofit,5.039718602546837
303,mask,6.344667324212775
304,duck,5.506338133808332
305,16pack,6.409205845350346
306,release,6.5523066889910195
307,tape,3.5151372255728552
308,yds,4.854576169411241
309,soho,6.5523066889910195
310,beige,3.674838335930763
311,rug,2.761148385756665
312,area,2.908666020355928
313,thames,9.117256046452557
314,kaleen,5.403683979748249
315,2hole,5.246055035544665
316,corner,2.8331218853817544
317,pressuretreated,4.41677568066014
318,pine,3.1588313534227743
319,iron,3.3303586650858485
320,mueller,4.6864392476092425
321,malleable,6.226884288556391
322,global,4.1066207523563
323,tee,4.168496156074388
324,thread,3.5077842512675965
325,safavieh,4.3550821116548
326,courtyard,6.814670953458511
327,naturalbrown,8.018643757784446
328,frigidaire,4.389868227740216
329,freezer,4.197275120624432
330,top,1.8188109449444092
331,refrigerator,3.206459402412029
332,sterling,4.407725845140222
333,bath,2.848159762746295
334,accord,6.409205845350346
335,baker39s,6.920031469116337
336,slate,3.8442564878888095
337,rack,3.770148515735088
338,cover,2.302713149192598
339,shape,5.403683979748249
340,well,4.67460478996224
341,thick,2.671536227066978
342,strong,7.325496577224501
343,flat,2.876980201281787
344,2part,6.478198716837298
345,coat,3.6200878211593546
346,epoxy,4.710536799188303
347,rustoleum,3.1158411684914062
348,epoxyshield,6.072733608729133
349,highgloss,6.814670953458511
350,garage,3.3211982956871844
351,ramp,6.409205845350346
352,fold,4.346571421986892
353,yutrax,7.325496577224501
354,atv,6.719360773654186
355,arch,4.3132350017193
356,xl,5.620748484986076
357,attic,4.883149541855297
358,werner,4.595467469403516
359,compact,3.9298702406118013
360,maximum,5.356055930758994
361,ladder,4.2730689599939655
362,adjustable,3.15367670283411
363,melnor,5.590895521836395
364,nozzle,5.20523304102441
365,trigger,6.2840427023963406
366,rear,5.403683979748249
367,window,2.5228425867027777
368,lg,3.8969002213742314
369,air,2.2917960101972494
370,electronics,3.8189386799045195
371,115volt,6.026213593094241
372,conditioner,3.8139511383934805
373,restore,4.722806891780118
374,deck,3.088977526221858
375,4x,6.632349396664556
376,hole,3.4577738306929353
377,milwaukee,3.0465183184500666
378,right,3.5918031073207723
379,lithiumion,2.6907675889948655
380,hawg,6.344667324212775
381,drill,3.3489350506587843
382,m18,4.563379154852016
383,brushless,4.265225782532939
384,ariens,5.146964132900434
385,electric,1.8694634646847101
386,deluxe,3.7281843166360553
387,steering,7.507818134018456
388,blower,4.204601160716504
389,autoturn,8.424108865892611
390,snow,4.06740003920302
391,twostage,6.5523066889910195
392,start,4.257443642090884
393,selfcleaning,3.701155644248136
394,oven,3.4718091488093186
395,adora,6.814670953458511
396,base,2.372019696968194
397,lwm,7.171345897397243
398,millwork,3.511453980156559
399,moulding,3.461264235632704
400,woodgrain,4.338132553341027
401,woodbury,6.344667324212775
402,dining,5.246055035544665
403,dragonfruit,6.072733608729133
404,set,1.7648149462089737
405,7piece,4.799767932916246
406,ribbon,5.506338133808332
407,gardener39s,6.814670953458511
408,rolling,7.507818134018456
409,plastic,2.3934236056313476
410,plant,3.7797179667512384
411,caddy,5.146964132900434
412,dimex,6.814670953458511
413,landscape,4.257443642090884
414,easyflex,8.018643757784446
415,edge,3.09623269710303
416,project,4.854576169411241
417,pg,9.117256046452557
418,grade,3.59579512859031
419,group,3.7893798776629755
420,lacquer,6.719360773654186
421,polymer,4.651347927797973
422,resistant,4.786522706166226
423,yd,6.632349396664556
424,6pack,3.101098886754203
425,intertape,6.5523066889910195
426,teks,6.478198716837298
427,external,4.722806891780118
428,screw,2.4165249369047457
429,80pack,7.325496577224501
430,hex,3.4068290290776866
431,hexhead,4.6984154386559585
432,flange,4.175613623843252
433,selfdrilling,5.620748484986076
434,silicone,4.773450624598873
435,purpose,4.265225782532939
436,caulk,4.883149541855297
437,101oz,6.409205845350346
438,clear,2.297239681778426
439,combo,3.327295875555303
440,cordless,2.513312221852084
441,2tool,5.20523304102441
442,driver,4.234454123866185
443,joe,5.146964132900434
444,reduction,6.172817067286116
445,ratio,8.018643757784446
446,leaf,4.786522706166226
447,sun,4.44442721199065
448,shredder,5.65152014365283
449,mulchershredder,8.424108865892611
450,bowl,2.6636310475598646
451,colorado,7.0378145047727205
452,navigator,6.814670953458511
453,wand,5.821419180448228
454,bagless,6.172817067286116
455,appliance,4.502135529611297
456,expandit,6.344667324212775
457,pole,3.7236285001001947
458,attachment,4.747808193985535
459,ryobi,3.533759737670857
460,universal,3.1035408904097546
461,saw,2.66678562430838
462,roll,3.552735639129863
463,screen,3.203753040814286
464,primeline,2.844379039906389
465,fiberglass,3.511453980156559
466,doctor,6.478198716837298
467,upholstery,6.5523066889910195
468,hand,3.2853735691690393
469,line,3.7991360526083398
470,halogen,4.099976209637632
471,pucks,7.730961685332666
472,voltage,4.617446376122292
473,5pack,3.5262690659416998
474,amerelle,5.128271999888282
475,bale,7.507818134018456
476,straw,6.121523772898565
477,masterpiece,5.267108444742497
478,glass,1.8483359182588348
479,blind,3.679176737529361
480,slide,2.668366652305699
481,righthand,4.425908164223412
482,composite,2.8634272348770833
483,dehumidifier,6.121523772898565
484,portable,3.0675225912205986
485,function,5.403683979748249
486,desk,4.735229411778675
487,decorator,2.323789913872547
488,collection,1.6907069740552518
489,espresso,3.5489115426914597
490,package,4.990121661407465
491,pruner,5.981761830523407
492,jameson,6.409205845350346
493,p,7.507818134018456
494,purdy,7.171345897397243
495,3pack,3.4302806901127365
496,sander,5.056813035906137
497,dewalt,2.9310474225520626
498,pad,3.834052317714568
499,14sheet,8.018643757784446
500,24amp,8.424108865892611
501,equipment,5.6832688419674104
502,wireless,3.674838335930763
503,free,3.902320288843571
504,gasoline,5.1854304137282305
505,inverter,5.20523304102441
506,generator,4.042082231218729
507,champion,5.091904355717407
508,watt,4.799767932916246
509,power,2.544973503758549
510,foundation,5.590895521836395
511,hot,4.12682345967382
512,system,2.6956337786460387
513,nickel,1.8007078692695802
514,involve,8.424108865892611
515,instant,4.747808193985535
516,satin,2.376736686846333
517,hview,9.117256046452557
518,clamp,3.9932920670492975
519,12pack,3.6200878211593546
520,tube,3.4508293583401244
521,rapidair,9.117256046452557
522,proslat,6.920031469116337
523,wall,1.1611296952390562
524,safety,3.8089883490513516
525,sundstrom,7.507818134018456
526,respirator,5.716058664790401
527,ant,5.821419180448228
528,outdoor,1.9071764182817683
529,terro,7.171345897397243
530,5gal,3.7281843166360553
531,leaktite,5.7850515362773525
532,lid,4.472865147311183
533,homer,7.171345897397243
534,leakproof,9.117256046452557
535,lamp,3.091390072627242
536,whitewood,7.325496577224501
537,kilndried,6.026213593094241
538,stud,5.166012327871129
539,frost,3.6038273002875743
540,king,4.099976209637632
541,shrink,5.898380221584356
542,eo,5.006382182279245
543,filter,2.7928970840712455
544,pelican,6.409205845350346
545,bathroom,2.8557643621315143
546,whole,4.799767932916246
547,gpm,4.563379154852016
548,carbon,4.2730689599939655
549,32watt,5.506338133808332
550,fluorescent,3.3615138328656444
551,10pack,3.2256118346267852
552,philip,2.945555449041641
553,6500k,6.409205845350346
554,bulb,2.259741983907166
555,t8,4.3132350017193
556,daylight,4.363665855346191
557,alto,5.267108444742497
558,gcv190,8.424108865892611
559,walkbehind,4.91256342706159
560,honda,4.990121661407465
561,laminate,2.9476453139611003
562,2door,5.403683979748249
563,raise,4.532288567781984
564,storage,2.72032639123641
565,closetmaid,4.211981268014127
566,aquatic,5.267108444742497
567,repair,3.9467720514144045
568,gelcoat,6.409205845350346
569,true,4.883149541855297
570,ultra,2.920811918658036
571,paneling,7.507818134018456
572,bead,4.89774834127645
573,hardboard,6.2840427023963406
574,armstrong,4.91256342706159
575,sand,3.3121210775360677
576,stick,3.9814576094022947
577,peel,4.502135529611297
578,blanket,5.403683979748249
579,rvalue,6.344667324212775
580,everbilt,2.3982428920672967
581,reflective,5.379586428169188
582,marazzi,4.974121320061023
583,glaze,4.042082231218729
584,gunstock,5.590895521836395
585,montagna,6.026213593094241
586,porcelain,3.2971731161001947
587,double,2.2389295781612315
588,vgrooved,6.632349396664556
589,flushmount,4.710536799188303
590,ceiling,2.2409914345617903
591,easy,3.7942460673141483
592,xt1,7.0378145047727205
593,bagger,6.172817067286116
594,cub,4.883149541855297
595,ltx,8.018643757784446
596,3way,4.628619676720416
597,toggle,4.005268258096013
598,leviton,3.8139511383934805
599,dualfuel,7.325496577224501
600,reddy,7.730961685332666
601,infrared,4.563379154852016
602,stain,3.09623269710303
603,mahogany,3.6662175928868557
604,bypass,4.435124819328337
605,lopper,7.507818134018456
606,fiskars,5.310593556682236
607,memoir,5.506338133808332
608,sink,2.182858836523998
609,design,2.8828453207341846
610,kohler,2.447757956594677
611,classic,2.8789314214130486
612,pedestal,4.617446376122292
613,max,3.5151372255728552
614,20volt,4.257443642090884
615,9tool,7.730961685332666
616,aquasana,7.171345897397243
617,filtration,5.022911484230455
618,avanti,5.749960216466082
619,blade,2.876980201281787
620,turbo,5.091904355717407
621,diamond,3.587826958941133
622,pro,3.09623269710303
623,cedar,3.6879104174981157
624,red,2.3898243216017008
625,groove,5.333066412534295
626,tongue,5.9392022161046105
627,cedarsafe,8.018643757784446
628,closet,3.587826958941133
629,aromatic,6.814670953458511
630,liner,3.891509372739355
631,eastern,6.409205845350346
632,charcoal,4.07383092953331
633,cement,4.453816952340489
634,oz,1.8107246475130514
635,color,3.0013639209695224
636,hinge,3.364683407626923
637,per,3.0350371360761104
638,pack,2.755953568879561
639,radius,4.927601304426131
640,lp,5.9392022161046105
641,dynaglo,5.898380221584356
642,force,6.344667324212775
643,particulate,7.171345897397243
644,p100,8.018643757784446
645,integrate,6.072733608729133
646,puff,8.424108865892611
647,haier,6.478198716837298
648,tap,5.0742047786180065
649,beer,6.632349396664556
650,blackdiscontinued,5.716058664790401
651,brewmaster,9.117256046452557
652,tab,5.821419180448228
653,reflectix,7.171345897397243
654,staple,5.166012327871129
655,50watt,6.226884288556391
656,malibu,5.620748484986076
657,flood,3.7466180183248934
658,low,3.3552046636723794
659,studio,5.288614649963462
660,hickory,3.5451020142747915
661,allpurpose,5.267108444742497
662,miraclegro,5.533737107996446
663,food,4.55290785498472
664,liquafeed,8.018643757784446
665,refill,4.868760804403197
666,ring,3.653424241426946
667,0120gauge,7.730961685332666
668,nail,3.552735639129863
669,galvanized,4.512085860464465
670,30Ã¥Â¡,7.0378145047727205
671,shank,4.381057598058061
672,paper,3.9077698936111354
673,frame,2.769866836796546
674,2000pack,6.409205845350346
675,paslode,6.172817067286116
676,key,3.7653979129764896
677,showcase,6.632349396664556
678,lock,2.8926976171771965
679,parson,7.0378145047727205
680,crosley,5.65152014365283
681,pantry,5.749960216466082
682,firecode,8.018643757784446
683,board,3.2451382569771408
684,core,3.661934931094855
685,sheetrock,6.2840427023963406
686,gypsum,6.172817067286116
687,drain,2.7893192627233616
688,aloha,6.632349396664556
689,soak,5.146964132900434
690,tub,2.4631035262693377
691,bootz,6.719360773654186
692,utility,3.8139511383934805
693,upright,4.8131909532483865
694,border,4.868760804403197
695,scroll,5.166012327871129
696,elite,4.502135529611297
697,prepac,5.859159508431074
698,stik,7.325496577224501
699,ez,4.0868181250601205
700,reach,6.026213593094241
701,tree,3.2256118346267852
702,speakeasy,7.0378145047727205
703,main,4.234454123866185
704,distressed,6.719360773654186
705,rustic,4.211981268014127
706,type,3.276614389079158
707,solid,2.449027798035153
708,3ah,8.018643757784446
709,battery,2.766370329737817
710,galvanize,3.1823618508329687
711,magnetic,4.502135529611297
712,craft,4.854576169411241
713,surface,3.276614389079158
714,hobby,6.478198716837298
715,pointofuse,6.5523066889910195
716,element,4.182782113321864
717,2000watt,6.719360773654186
718,mph,5.20523304102441
719,super,4.147442746876556
720,cfm,3.587826958941133
721,flowtron,7.171345897397243
722,mulcher,8.424108865892611
723,electronic,4.3723239180893065
724,leafeaterultimate,9.117256046452557
725,5amp,6.719360773654186
726,gma,6.814670953458511
727,bussmann,5.821419180448228
728,fuse,5.20523304102441
729,cooper,4.735229411778675
730,chiaro,8.424108865892611
731,ms,3.823951221728064
732,travertine,4.617446376122292
733,international,3.4508293583401244
734,meshmounted,4.595467469403516
735,brick,4.3550821116548
736,mosaic,3.164012712164772
737,mm,2.713681848517741
738,tumble,5.620748484986076
739,termination,7.325496577224501
740,csst,6.026213593094241
741,brass,2.1269995459586757
742,mipt,7.0378145047727205
743,25pack,4.321465500855815
744,liberty,3.7056099945975163
745,50ml,9.117256046452557
746,pc,5.7850515362773525
747,cartridge,4.453816952340489
748,pcclear,8.424108865892611
749,tier,5.821419180448228
750,3piece,3.7991360526083398
751,premitered,7.730961685332666
752,wm,5.0742047786180065
753,beautyscapes,8.018643757784446
754,rubber,3.62831832029587
755,mulch,5.039718602546837
756,contractor,4.868760804403197
757,bell,4.522136196317966
758,wired,7.507818134018456
759,sigman,5.590895521836395
760,cloth,4.8131909532483865
761,canvas,4.1336494247442195
762,drop,4.786522706166226
763,square,2.637211484525903
764,jet,4.91256342706159
765,woodworking,7.730961685332666
766,lathe,7.0378145047727205
767,rail,3.387156263478982
768,hardwood,3.282445309389951
769,common,4.288942309150255
770,fiberboard,7.325496577224501
771,density,5.403683979748249
772,medium,3.133319765765366
773,actual,4.463295696295033
774,adjustagate,7.507818134018456
775,gate,3.6879104174981157
776,sherlock,6.632349396664556
777,roller,3.500484948785985
778,wooster,5.4536944003229095
779,split,4.482527058222921
780,flash,4.958372963092884
781,mission,5.039718602546837
782,clay,5.0742047786180065
783,andrew,9.117256046452557
784,chaise,5.356055930758994
785,hawkins,8.018643757784446
786,tarnish,8.424108865892611
787,fan,2.42765677727359
788,caravan,7.0378145047727205
789,sport,5.310593556682236
790,shelter,6.226884288556391
791,room,4.606396539935706
792,extrusion,7.730961685332666
793,spline,6.172817067286116
794,biscuit,4.242058723251405
795,specialty,4.09337552560628
796,refinish,5.379586428169188
797,1qt,4.6984154386559585
798,tough,5.506338133808332
799,d,8.018643757784446
800,job,5.859159508431074
801,bucket,4.8131909532483865
802,polyester,4.502135529611297
803,garden,2.827540475543559
804,hearth,4.67460478996224
805,offset,4.990121661407465
806,umbrella,4.44442721199065
807,pvc,2.4656841728628294
808,patch,4.5846565532993
809,wet,5.039718602546837
810,200pack,6.920031469116337
811,flathead,4.3723239180893065
812,zincplated,3.433676279113875
813,backeron,7.730961685332666
814,indoor,3.171835437845981
815,midili,8.424108865892611
816,basswood,6.172817067286116
817,casingchair,9.117256046452557
818,western,5.091904355717407
819,rough,4.942868776556919
820,timber,5.246055035544665
821,summer,5.981761830523407
822,extratall,8.424108865892611
823,infant,6.920031469116337
824,sure,6.2840427023963406
825,secure,6.478198716837298
826,walkthru,8.018643757784446
827,scotch,5.9392022161046105
828,3m,4.190002361295352
829,masking,6.719360773654186
830,production,9.117256046452557
831,farm,6.478198716837298
832,hose,3.2650535666780818
833,insulator,6.632349396664556
834,triply,7.730961685332666
835,bitumen,8.424108865892611
836,modify,8.018643757784446
837,gaf,5.859159508431074
838,planking,9.117256046452557
839,rock,4.338132553341027
840,vigoro,4.942868776556919
841,lava,6.409205845350346
842,stone,2.8331218853817544
843,style,3.3615138328656444
844,l58,8.424108865892611
845,emboss,5.9392022161046105
846,decramold,6.172817067286116
847,button,4.840589927436501
848,dm,6.172817067286116
849,chain,3.9467720514144045
850,blackdecker,4.1133097405070975
851,corded,7.507818134018456
852,doe,6.121523772898565
853,highefficiency,4.6629087501990485
854,silvertanium,9.117256046452557
855,bullnose,4.09337552560628
856,daltile,3.426896592128496
857,briton,6.814670953458511
858,podium,7.730961685332666
859,stepladder,8.018643757784446
860,ia,5.65152014365283
861,rating,4.6629087501990485
862,comparable,6.409205845350346
863,unfinished,3.599803149987849
864,bore,5.356055930758994
865,slab,4.07383092953331
866,jeldwen,3.958200747238027
867,anthracitebeige,9.117256046452557
868,12volt,3.5489115426914597
869,m12,4.628619676720416
870,telescope,4.8131909532483865
871,prune,7.325496577224501
872,multipurpose,4.07383092953331
873,tray,4.219416246501645
874,feit,4.89774834127645
875,cfl,4.41677568066014
876,60w,4.502135529611297
877,spiral,4.606396539935706
878,equivalent,3.0304813195402494
879,flomaster,7.0378145047727205
880,rl,6.814670953458511
881,economy,6.344667324212775
882,rib,5.1099228612200855
883,indooroutdoor,3.636617123110565
884,foss,7.0378145047727205
885,taupe,5.128271999888282
886,cat,5.42837659233862
887,1000watt,5.590895521836395
888,supply,4.211981268014127
889,fit,3.9187590151867306
890,seal,4.12682345967382
891,electrogalvanized,6.121523772898565
892,griprite,4.407725845140222
893,lbpack,4.2730689599939655
894,creme,6.5523066889910195
895,wax,5.506338133808332
896,decora,4.3723239180893065
897,stewart,3.4068290290776866
898,polish,2.5380048344424555
899,martha,3.4405022441842745
900,live,3.2971731161001947
901,channel,4.974121320061023
902,cable,3.327295875555303
903,drum,5.4536944003229095
904,torsion,6.5523066889910195
905,ln,8.424108865892611
906,traditional,3.804050067410769
907,cortex,8.424108865892611
908,fastenmaster,6.5523066889910195
909,azek,6.920031469116337
910,grafton,8.424108865892611
911,vanity,2.0793500830053744
912,granite,3.203753040814286
913,crimson,6.814670953458511
914,one,3.913249359375761
915,radio,6.478198716837298
916,technology,3.8545658575476707
917,toolonly,4.563379154852016
918,bluetooth,5.590895521836395
919,torque,6.121523772898565
920,friction,6.814670953458511
921,rectangle,4.735229411778675
922,verticyl,9.117256046452557
923,undermounted,6.2840427023963406
924,lin,6.344667324212775
925,telescoping,9.117256046452557
926,mast,9.117256046452557
927,master,3.8597606744247748
928,york,4.6629087501990485
929,fsp8495u,9.117256046452557
930,new,3.8597606744247748
931,shelftrack,6.172817067286116
932,4drawer,6.172817067286116
933,gray,2.831257951943692
934,maytag,4.532288567781984
935,dryer,3.9467720514144045
936,swing,4.563379154852016
937,1light,2.7733756123262254
938,shop,5.506338133808332
939,poolmaster,7.0378145047727205
940,foam,3.9524700725290423
941,linzer,5.561907984963143
942,3drawer,5.749960216466082
943,mocha,5.128271999888282
944,reclaim,6.026213593094241
945,java,5.022911484230455
946,engineer,4.042082231218729
947,file,4.990121661407465
948,emt,5.128271999888282
949,allied,5.356055930758994
950,conduit,4.140522304031982
951,mighty,5.65152014365283
952,automatic,4.463295696295033
953,opener,4.710536799188303
954,enhance,6.5523066889910195
955,access,5.039718602546837
956,heavyduty,4.3132350017193
957,mule,5.898380221584356
958,spt,5.288614649963462
959,heat,3.6576705323083973
960,insulate,4.242058723251405
961,lefthand,4.338132553341027
962,tafco,5.590895521836395
963,sliding,6.072733608729133
964,pane,6.409205845350346
965,grey,3.1588313534227743
966,shale,7.507818134018456
967,pet,3.8139511383934805
968,petsafe,6.920031469116337
969,richelieu,5.056813035906137
970,degree,4.44442721199065
971,plug,3.6879104174981157
972,surge,5.0742047786180065
973,cord,3.2564698229866904
974,defiant,4.407725845140222
975,protector,4.760547219762964
976,10outlet,8.424108865892611
977,estate,5.821419180448228
978,mould,4.029659711220172
979,tread,3.9298702406118013
980,5step,8.424108865892611
981,cedartone,6.172817067286116
982,stringer,6.478198716837298
983,stair,3.624194603112008
984,smooth,3.333430864122819
985,masonite,3.902320288843571
986,veneer,6.2840427023963406
987,hollow,4.735229411778675
988,birch,4.8131909532483865
989,pulse,6.226884288556391
990,ii,3.760669771780544
991,kauai,7.730961685332666
992,showerspas,6.478198716837298
993,industrial,3.969761569639103
994,fpt,4.747808193985535
995,ball,3.674838335930763
996,dremel,4.760547219762964
997,workstation,7.730961685332666
